Source,Option,TSFC (Weighted),production/end-of-life (Weighted),development (Weighted),acquisition (Weighted),operational (Weighted),payload (Weighted),stab-control (Weighted),reliability (Weighted),certification (Weighted),safety (Weighted),ease (Weighted),accessibility (Weighted),Sustainability,Cost,Performance,Risk,Transportability,Final Score
Sustainability,1,0.3,0.32000000000000006,,,,,,,,,,,,,,,,
Sustainability,2,0.36,0.27999999999999997,,,,,,,,,,,,,,,,
Sustainability,3,0.42,0.24,,,,,,,,,,,,,,,,
Sustainability,4,0.48,0.2,,,,,,,,,,,,,,,,
Sustainability,5,0.54,0.16000000000000003,,,,,,,,,,,,,,,,
Cost,1,,,0.1,0.32000000000000006,0.36000000000000004,,,,,,,,,,,,,
Cost,2,,,0.12,0.27999999999999997,0.32000000000000006,,,,,,,,,,,,,
Cost,3,,,0.13999999999999999,0.24,0.27999999999999997,,,,,,,,,,,,,
Cost,4,,,0.16000000000000003,0.2,0.24,,,,,,,,,,,,,
Cost,5,,,0.18000000000000002,0.16000000000000003,0.2,,,,,,,,,,,,,
Performance,1,,,,,,0.25,0.4,,,,,,,,,,,
Performance,2,,,,,,0.3,0.35,,,,,,,,,,,
Performance,3,,,,,,0.35,0.3,,,,,,,,,,,
Performance,4,,,,,,0.4,0.25,,,,,,,,,,,
Performance,5,,,,,,0.45,0.2,,,,,,,,,,,
Risk,1,,,,,,,,0.25,0.16000000000000003,0.27,,,,,,,,
Risk,2,,,,,,,,0.3,0.13999999999999999,0.24,,,,,,,,
Risk,3,,,,,,,,0.35,0.12,0.21,,,,,,,,
Risk,4,,,,,,,,0.4,0.1,0.18,,,,,,,,
Risk,5,,,,,,,,0.45,0.08000000000000002,0.15,,,,,,,,
Transportability,1,,,,,,,,,,,0.225,0.44000000000000006,,,,,,
Transportability,2,,,,,,,,,,,0.27,0.385,,,,,,
Transportability,3,,,,,,,,,,,0.315,0.33,,,,,,
Transportability,4,,,,,,,,,,,0.36000000000000004,0.275,,,,,,
Transportability,5,,,,,,,,,,,0.405,0.22000000000000003,,,,,,
Final Trade-Off,1,,,,,,,,,,,,,0.6200000000000001,0.78,0.65,0.68,0.665,0.6875
Final Trade-Off,2,,,,,,,,,,,,,0.6399999999999999,0.72,0.6499999999999999,0.6799999999999999,0.655,0.6735
Final Trade-Off,3,,,,,,,,,,,,,0.6599999999999999,0.6599999999999999,0.6499999999999999,0.6799999999999999,0.645,0.6595
Final Trade-Off,4,,,,,,,,,,,,,0.6799999999999999,0.6000000000000001,0.65,0.6799999999999999,0.635,0.6455
Final Trade-Off,5,,,,,,,,,,,,,0.7000000000000001,0.54,0.65,0.68,0.625,0.6315000000000001
