# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
1

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,FuselageGeom,0,ILQFULOCMW,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,21,17
# x,y,z,u,w
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.500000000000000000e-01
-7.401486830834376525e-17, -3.700743415417188263e-17, 0.000000000000000000e+00, 0.000000000000000000e+00, 5.000000000000000000e-01
0.000000000000000000e+00, -1.850371707708594131e-17, 0.000000000000000000e+00, 0.000000000000000000e+00, 7.500000000000000000e-01
-7.401486830834376525e-17, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
-7.401486830834376525e-17, 1.850371707708594131e-17, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.250000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.500000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.750000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.250000000000000000e+00
-7.401486830834376525e-17, 0.000000000000000000e+00, -1.850371707708594131e-17, 0.000000000000000000e+00, 2.500000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.750000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.000000000000000000e+00
-7.401486830834376525e-17, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.250000000000000000e+00
0.000000000000000000e+00, -3.700743415417188263e-17, -1.850371707708594131e-17, 0.000000000000000000e+00, 3.500000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, -1.850371707708594131e-17, 0.000000000000000000e+00, 3.750000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.000000000000000000e+00
3.538751026245671172e-01, 2.321510945282100891e-01, 0.000000000000000000e+00, 2.000000000000000111e-01, 0.000000000000000000e+00
3.625158919492164067e-01, 2.116118854888602852e-01, -5.564032527091272717e-02, 2.000000000000000111e-01, 2.500000000000000000e-01
3.816314966543013498e-01, 1.641432090333406757e-01, -1.025819352846885912e-01, 2.000000000000000111e-01, 5.000000000000000000e-01
4.008924337189463394e-01, 8.561685062234233867e-02, -1.208080884887594991e-01, 2.000000000000000111e-01, 7.500000000000000000e-01
4.096953187002582708e-01, -3.858475737419427141e-17, -1.263142595719470296e-01, 2.000000000000000111e-01, 1.000000000000000000e+00
4.008924337189463394e-01, -8.561685062234242194e-02, -1.208080884887595408e-01, 2.000000000000000111e-01, 1.250000000000000000e+00
3.816314966543014053e-01, -1.641432090333406757e-01, -1.025819352846886051e-01, 2.000000000000000111e-01, 1.500000000000000000e+00
3.625158919492171838e-01, -2.116118854888602852e-01, -5.564032527091274799e-02, 2.000000000000000111e-01, 1.750000000000000000e+00
3.538751026245670617e-01, -2.321510945282100891e-01, -2.130418292950218648e-17, 2.000000000000000111e-01, 2.000000000000000000e+00
