   xfusel    yspan       cp      dMACH
   0.000000  0.000001  0.968281 -0.523567
   0.002408  0.003067  1.134320 -0.685160
   0.009607  0.012061  0.679615 -0.340801
   0.021530  0.026372  0.362782 -0.176504
   0.038060  0.045009 -0.051760  0.025235
   0.059039  0.066647 -0.793338  0.424995
   0.084265  0.089682 -1.518734  1.070460
   0.113495  0.112298 -1.948579  2.915678
   0.146447  0.132548       NaN       NaN
   0.182803  0.148440       NaN       NaN
   0.222215  0.158024       NaN       NaN
   0.264302  0.160000       NaN       NaN
   0.308658  0.160000       NaN       NaN
   0.354858  0.160000       NaN       NaN
   0.402455  0.160000       NaN       NaN
   0.450991  0.160000       NaN       NaN
   0.500000  0.160000 -1.958614  3.235511
   0.549009  0.160000       NaN       NaN
   0.597545  0.160000       NaN       NaN
   0.645142  0.160000       NaN       NaN
   0.691342  0.160000       NaN       NaN
   0.735698  0.160000       NaN       NaN
   0.777785  0.158024       NaN       NaN
   0.817197  0.148441       NaN       NaN
   0.853553  0.132548       NaN       NaN
   0.886505  0.112298 -1.948408  2.911358
   0.915735  0.089682 -1.517942  1.069346
   0.940961  0.066647 -0.792430  0.424425
   0.961940  0.045009 -0.051020  0.024873
   0.978470  0.026372  0.363089 -0.176656
   0.990393  0.012061  0.679233 -0.340589
   0.997592  0.003067  1.134544 -0.685473
   1.000000  0.000001  0.968710 -0.523892
   0.000000  0.172781 -0.688028  0.360887
   0.002408  0.172781 -0.700896  0.368526
   0.009607  0.172781 -0.743084  0.393938
   0.021530  0.172781 -0.826659  0.446100
   0.038060  0.172781 -0.974523  0.545572
   0.059039  0.172781 -1.216313  0.736667
   0.084265  0.172781 -1.556535  1.125954
   0.113495  0.172781 -1.885151  2.106888
   0.146447  0.172781       NaN       NaN
   0.182803  0.172781       NaN       NaN
   0.222215  0.172781       NaN       NaN
   0.264302  0.172781       NaN       NaN
   0.308658  0.172781       NaN       NaN
   0.354858  0.172781       NaN       NaN
   0.402455  0.172781       NaN       NaN
   0.450991  0.172781       NaN       NaN
   0.500000  0.172781       NaN       NaN
   0.549009  0.172781       NaN       NaN
   0.597545  0.172781       NaN       NaN
   0.645142  0.172781       NaN       NaN
   0.691342  0.172781 -0.214550  0.105725
   0.735698  0.172781       NaN       NaN
   0.777785  0.172781       NaN       NaN
   0.817197  0.172781       NaN       NaN
   0.853553  0.172781       NaN       NaN
   0.886505  0.172781 -1.975818  5.479300
   0.915735  0.172781 -1.815369  1.738046
   0.940961  0.172781 -1.484154  1.023379
   0.961940  0.172781 -1.199631  0.721966
   0.978470  0.172781 -1.013840  0.573895
   0.990393  0.172781 -0.905982  0.498186
   0.997592  0.172781 -0.850888  0.461723
   1.000000  0.172781 -0.834011  0.450815
   0.000000  0.192531 -0.718138  0.378843
   0.002408  0.192531 -0.731564  0.386941
   0.009607  0.192531 -0.774951  0.413527
   0.021530  0.192531 -0.858434  0.466638
   0.038060  0.192531 -1.000602  0.564259
   0.059039  0.192531 -1.224837  0.744285
   0.084265  0.192531 -1.535249  1.094147
   0.113495  0.192531 -1.850560  1.897094
   0.146447  0.192531 -1.976657  6.414525
   0.182803  0.192531       NaN       NaN
   0.222215  0.192531       NaN       NaN
   0.264302  0.192531       NaN       NaN
   0.308658  0.192531       NaN       NaN
   0.354858  0.192531       NaN       NaN
   0.402455  0.192531       NaN       NaN
   0.450991  0.192531       NaN       NaN
   0.500000  0.192531 -1.977244 11.607362
   0.549009  0.192531       NaN       NaN
   0.597545  0.192531       NaN       NaN
   0.645142  0.192531       NaN       NaN
   0.691342  0.192531  0.060224 -0.029236
   0.735698  0.192531       NaN       NaN
   0.777785  0.192531       NaN       NaN
   0.817197  0.192531       NaN       NaN
   0.853553  0.192531       NaN       NaN
   0.886505  0.192531 -1.969846  3.969789
   0.915735  0.192531 -1.790934  1.647491
   0.940961  0.192531 -1.484159  1.023386
   0.961940  0.192531 -1.221867  0.741622
   0.978470  0.192531 -1.045068  0.597049
   0.990393  0.192531 -0.938668  0.520486
   0.997592  0.192531 -0.882813  0.482687
   1.000000  0.192531 -0.865470  0.471243
   0.000000  0.212281 -0.735893  0.389565
   0.002408  0.212281 -0.749434  0.397813
   0.009607  0.212281 -0.792744  0.424622
   0.021530  0.212281 -0.874413  0.477128
   0.038060  0.212281 -1.009779  0.570928
   0.059039  0.212281 -1.217733  0.737931
   0.084265  0.212281 -1.502687  1.048209
   0.113495  0.212281 -1.805977  1.701666
   0.146447  0.212281 -1.969489  3.930466
   0.182803  0.212281       NaN       NaN
   0.222215  0.212281       NaN       NaN
   0.264302  0.212281       NaN       NaN
   0.308658  0.212281       NaN       NaN
   0.354858  0.212281       NaN       NaN
   0.402455  0.212281       NaN       NaN
   0.450991  0.212281 -1.975862  5.510580
   0.500000  0.212281 -1.970291  4.021698
   0.549009  0.212281       NaN       NaN
   0.597545  0.212281       NaN       NaN
   0.645142  0.212281 -1.972582  4.365121
   0.691342  0.212281  0.229852 -0.111427
   0.735698  0.212281       NaN       NaN
   0.777785  0.212281       NaN       NaN
   0.817197  0.212281       NaN       NaN
   0.853553  0.212281       NaN       NaN
   0.886505  0.212281 -1.954476  3.084966
   0.915735  0.212281 -1.754477  1.532878
   0.940961  0.212281 -1.466450  1.000465
   0.961940  0.212281 -1.223754  0.743314
   0.978470  0.212281 -1.056850  0.605946
   0.990393  0.212281 -0.953888  0.531052
   0.997592  0.212281 -0.898803  0.493357
   1.000000  0.212281 -0.881527  0.481834
   0.000000  0.232031 -0.743708  0.394318
   0.002408  0.232031 -0.757057  0.402484
   0.009607  0.232031 -0.799438  0.428827
   0.021530  0.232031 -0.878172  0.479612
   0.038060  0.232031 -1.006040  0.568205
   0.059039  0.232031 -1.198640  0.721101
   0.084265  0.232031 -1.460814  0.993325
   0.113495  0.232031 -1.751245  1.523659
   0.146447  0.232031 -1.947577  2.890733
   0.182803  0.232031       NaN       NaN
   0.222215  0.232031       NaN       NaN
   0.264302  0.232031       NaN       NaN
   0.308658  0.232031       NaN       NaN
   0.354858  0.232031       NaN       NaN
   0.402455  0.232031 -1.977259 15.652812
   0.450991  0.232031 -1.950055  2.954216
   0.500000  0.232031 -1.928946  2.544903
   0.549009  0.232031 -1.972176  4.292217
   0.597545  0.232031 -1.977259 15.770761
   0.645142  0.232031 -1.687748  1.365393
   0.691342  0.232031  0.336997 -0.163787
   0.735698  0.232031       NaN       NaN
   0.777785  0.232031       NaN       NaN
   0.817197  0.232031       NaN       NaN
   0.853553  0.232031 -1.977261 25.041161
   0.886505  0.232031 -1.925067  2.491367
   0.915735  0.232031 -1.706652  1.408534
   0.940961  0.232031 -1.435050  0.961588
   0.961940  0.232031 -1.210300  0.731336
   0.978470  0.232031 -1.053767  0.603608
   0.990393  0.232031 -0.955467  0.532155
   0.997592  0.232031 -0.902133  0.495594
   1.000000  0.232031 -0.885290  0.484332
   0.000000  0.251781 -0.743483  0.394181
   0.002408  0.251781 -0.756440  0.402106
   0.009607  0.251781 -0.797313  0.427490
   0.021530  0.251781 -0.872367  0.475779
   0.038060  0.251781 -0.992338  0.558296
   0.059039  0.251781 -1.170265  0.696728
   0.084265  0.251781 -1.411302  0.933546
   0.113495  0.251781 -1.686966  1.363669
   0.146447  0.251781 -1.906154  2.280162
   0.182803  0.251781 -1.976339  5.947084
   0.222215  0.251781       NaN       NaN
   0.264302  0.251781       NaN       NaN
   0.308658  0.251781       NaN       NaN
   0.354858  0.251781 -1.976990  7.373888
   0.402455  0.251781 -1.959349  3.266051
   0.450991  0.251781 -1.868187  1.995203
   0.500000  0.251781 -1.830092  1.799724
   0.549009  0.251781 -1.908589  2.303720
   0.597545  0.251781 -1.926620  2.512264
   0.645142  0.251781 -1.058768  0.607403
   0.691342  0.251781  0.406055 -0.197988
   0.735698  0.251781 -1.974077  4.712535
   0.777785  0.251781       NaN       NaN
   0.817197  0.251781       NaN       NaN
   0.853553  0.251781 -1.974105  4.720800
   0.886505  0.251781 -1.878569  2.061152
   0.915735  0.251781 -1.648216  1.283583
   0.940961  0.251781 -1.392781  0.912418
   0.961940  0.251781 -1.185061  0.709345
   0.978470  0.251781 -1.039158  0.592620
   0.990393  0.251781 -0.946299  0.525769
   0.997592  0.251781 -0.895381  0.491063
   1.000000  0.251781 -0.879200  0.480292
   0.000000  0.271531 -0.736769  0.390097
   0.002408  0.271531 -0.749184  0.397661
   0.009607  0.271531 -0.788163  0.421755
   0.021530  0.271531 -0.859056  0.467045
   0.038060  0.271531 -0.970925  0.543024
   0.059039  0.271531 -1.134731  0.667207
   0.084265  0.271531 -1.355664  0.871849
   0.113495  0.271531 -1.614371  1.220912
   0.146447  0.271531 -1.844499  1.866639
   0.182803  0.271531 -1.960564  3.319759
   0.222215  0.271531 -1.977197  9.378952
   0.264302  0.271531 -1.977261       NaN
   0.308658  0.271531 -1.972646  4.377324
   0.354858  0.271531 -1.939954  2.726647
   0.402455  0.271531 -1.863582  1.968044
   0.450991  0.271531 -1.721564  1.444752
   0.500000  0.271531 -1.668182  1.323605
   0.549009  0.271531 -1.741839  1.497571
   0.597545  0.271531 -1.680886  1.350426
   0.645142  0.271531 -0.424630  0.213838
   0.691342  0.271531  0.450902 -0.220476
   0.735698  0.271531 -1.882321  2.086816
   0.777785  0.271531       NaN       NaN
   0.817197  0.271531 -1.977155  8.634952
   0.853553  0.271531 -1.952173  3.013694
   0.886505  0.271531 -1.814190  1.733362
   0.915735  0.271531 -1.580281  1.163313
   0.940961  0.271531 -1.341865  0.857325
   0.961940  0.271531 -1.150709  0.680350
   0.978470  0.271531 -1.015578  0.575168
   0.990393  0.271531 -0.928658  0.513601
   0.997592  0.271531 -0.880576  0.481204
   1.000000  0.271531 -0.865231  0.471087
   0.000000  0.291281 -0.724812  0.382861
   0.002408  0.291281 -0.736590  0.389989
   0.009607  0.291281 -0.773418  0.412577
   0.021530  0.291281 -0.839871  0.454589
   0.038060  0.291281 -0.943582  0.523884
   0.059039  0.291281 -1.093765  0.634430
   0.084265  0.291281 -1.295324  0.810332
   0.113495  0.291281 -1.535105  1.093937
   0.146447  0.291281 -1.764909  1.563590
   0.182803  0.291281 -1.914121  2.360749
   0.222215  0.291281 -1.964234  3.512545
   0.264302  0.291281 -1.965518  3.594627
   0.308658  0.291281 -1.914808  2.368212
   0.354858  0.291281 -1.809984  1.716929
   0.402455  0.291281 -1.683360  1.355781
   0.450991  0.291281 -1.520883  1.073497
   0.500000  0.291281 -1.453006  0.983554
   0.549009  0.291281 -1.482905  1.021737
   0.597545  0.291281 -1.280413  0.795878
   0.645142  0.291281  0.063743 -0.030941
   0.691342  0.291281  0.479625 -0.235020
   0.735698  0.291281 -1.659448  1.305792
