   yspan      DMle     DMmid      DMte      DMmean
   0.864001  0.005369  0.006427  0.008767  0.006854
   0.932212  0.005368  0.006461  0.008386  0.006738
   1.000422  0.005354  0.006411  0.007900  0.006555
   1.068633  0.005320  0.006276  0.007360  0.006319
   1.136843  0.005256  0.006079  0.006778  0.006038
   1.205054  0.005160  0.005822  0.006172  0.005718
   1.273264  0.005028  0.005509  0.005564  0.005367
   1.341475  0.004854  0.005151  0.004982  0.004996
   1.409685  0.004641  0.004775  0.004435  0.004617
   1.477895  0.004405  0.004394  0.003927  0.004242
   1.546106  0.004148  0.004011  0.003460  0.003873
   1.614316  0.003871  0.003634  0.003034  0.003513
   1.682527  0.003582  0.003272  0.002651  0.003168
   1.750737  0.003294  0.002931  0.002310  0.002845
   1.818948  0.003009  0.002612  0.002007  0.002543
   1.887158  0.002731  0.002318  0.001740  0.002263
   1.955369  0.002464  0.002047  0.001504  0.002005
   2.023579  0.002211  0.001802  0.001298  0.001770
   2.091789  0.001976  0.001582  0.001119  0.001559
   2.160000  0.001757  0.001384  0.000962  0.001367
