Time (s),Delta_Alpha (deg)
0.016097,0.035771
0.018066,0.036054
0.020036,0.036337
0.022006,0.036621
0.023976,0.036904
0.025945,0.037188
0.027915,0.037471
0.029885,0.037755
0.031855,0.038038
0.033825,0.038322
0.035794,0.038605
0.037764,0.038888
0.039734,0.039172
0.041704,0.039455
0.043673,0.039739
0.045643,0.040022
0.047613,0.040306
0.049583,0.040589
0.051553,0.040873
0.053522,0.041156
0.055492,0.041439
0.057462,0.041723
0.059432,0.042006
0.061401,0.042290
0.063371,0.042573
0.065341,0.042857
0.067311,0.043140
0.069281,0.043423
0.071250,0.043707
0.073220,0.043990
0.075190,0.044274
0.077160,0.044557
0.079129,0.044841
0.081099,0.045124
0.083069,0.045408
0.085039,0.045691
0.087009,0.045974
0.088978,0.046258
0.090948,0.046541
0.092918,0.046825
0.094888,0.047108
0.096857,0.047392
0.098827,0.047675
0.100797,0.047959
0.102767,0.048242
0.104737,0.048525
0.106706,0.048809
0.108676,0.049092
0.110646,0.049376
0.112616,0.049659
0.114585,0.049943
0.116555,0.050226
0.118525,0.050510
0.120495,0.050793
0.122465,0.051076
0.124434,0.051360
0.126404,0.051643
0.128374,0.051927
0.130344,0.052210
0.132313,0.052494
0.134283,0.052777
0.136253,0.053060
0.138223,0.053344
0.140193,0.053627
0.142162,0.053911
0.144132,0.054194
0.146102,0.054478
0.148072,0.054761
0.150041,0.055045
0.152011,0.055328
0.153981,0.055611
0.155951,0.055895
0.157920,0.056178
0.159890,0.056462
0.161860,0.056745
0.163830,0.057029
0.165800,0.057312
0.167769,0.057596
0.169739,0.057879
0.171709,0.058162
0.173679,0.058446
0.175648,0.058729
0.177618,0.059013
0.179588,0.059296
0.181558,0.059580
0.183528,0.059863
0.185497,0.060147
0.187467,0.060430
0.189437,0.060713
0.191407,0.060997
0.193376,0.061280
0.195346,0.061564
0.197316,0.061847
0.199286,0.062131
0.201256,0.062414
0.203225,0.062698
0.205195,0.062981
0.207165,0.063264
0.209135,0.063548
0.211104,0.063831
0.213074,0.064115
0.215044,0.064398
0.217014,0.064682
0.218984,0.064965
0.220953,0.065248
0.222923,0.065532
0.224893,0.065815
0.226863,0.066099
0.228832,0.066382
0.230802,0.066666
0.232772,0.066949
0.234742,0.067233
0.236712,0.067516
0.238681,0.067799
0.240651,0.068083
0.242621,0.068366
0.244591,0.068650
0.246560,0.069293
0.248530,0.070228
0.250500,0.071163
0.252470,0.072098
0.254440,0.073033
0.256409,0.073968
0.258379,0.074903
0.260349,0.075838
0.262319,0.076773
0.264288,0.077708
0.266258,0.078643
0.268228,0.079578
0.270198,0.080513
0.272168,0.081448
0.274137,0.082383
0.276107,0.083318
0.278077,0.084253
0.280047,0.085188
0.282016,0.086124
0.283986,0.087059
0.285956,0.087994
0.287926,0.088929
0.289896,0.089864
0.291865,0.090799
0.293835,0.091734
0.295805,0.092669
0.297775,0.093604
0.299744,0.094539
0.301714,0.095474
0.303684,0.096409
0.305654,0.097344
0.307624,0.098279
0.309593,0.099214
0.311563,0.100149
0.313533,0.101084
0.315503,0.102019
0.317472,0.102954
0.319442,0.103889
0.321412,0.104824
0.323382,0.105759
0.325352,0.106694
0.327321,0.107629
0.329291,0.108564
0.331261,0.109499
0.333231,0.110434
0.335200,0.111369
0.337170,0.112304
0.339140,0.113239
0.341110,0.114174
0.343079,0.115109
0.345049,0.116044
0.347019,0.116979
0.348989,0.117914
0.350959,0.118849
0.352928,0.119785
0.354898,0.120720
0.356868,0.121655
0.358838,0.122590
0.360807,0.123525
0.362777,0.124460
0.364747,0.125395
0.366717,0.126330
0.368687,0.127265
0.370656,0.128200
0.372626,0.129135
0.374596,0.130107
0.376566,0.131251
0.378535,0.132395
0.380505,0.133539
0.382475,0.134683
0.384445,0.135827
0.386415,0.136971
0.388384,0.138116
0.390354,0.139260
0.392324,0.140404
0.394294,0.141548
0.396263,0.142692
0.398233,0.143836
0.400203,0.144980
0.402173,0.146124
0.404143,0.147268
0.406112,0.148412
0.408082,0.149556
0.410052,0.150700
0.412022,0.151844
0.413991,0.152988
0.415961,0.154132
0.417931,0.155277
0.419901,0.156421
0.421871,0.157565
0.423840,0.158709
0.425810,0.159853
0.427780,0.160997
0.429750,0.162141
0.431719,0.163285
0.433689,0.164429
0.435659,0.165573
0.437629,0.166717
0.439599,0.167861
0.441568,0.169005
0.443538,0.170149
0.445508,0.171294
0.447478,0.172438
0.449447,0.173582
0.451417,0.174726
0.453387,0.175870
0.455357,0.177014
0.457327,0.178158
0.459296,0.179302
0.461266,0.180446
0.463236,0.181590
0.465206,0.182734
0.467175,0.183878
0.469145,0.185022
0.471115,0.186166
0.473085,0.187310
0.475055,0.188455
0.477024,0.189599
0.478994,0.190839
0.480964,0.193552
0.482934,0.196265
0.484903,0.198978
0.486873,0.201692
0.488843,0.204405
0.490813,0.207118
0.492783,0.209831
0.494752,0.212544
0.496722,0.215258
0.498692,0.217971
0.500662,0.220684
0.502631,0.223397
0.504601,0.226110
0.506571,0.228823
0.508541,0.231537
0.510511,0.234250
0.512480,0.236963
0.514450,0.239676
0.516420,0.242389
0.518390,0.245102
0.520359,0.247816
0.522329,0.250529
0.524299,0.253242
0.526269,0.255955
0.528239,0.258668
0.530208,0.261381
0.532178,0.264095
0.534148,0.266808
0.536118,0.269521
0.538087,0.272234
0.540057,0.274947
0.542027,0.277660
0.543997,0.280374
0.545966,0.283087
0.547936,0.285800
0.549906,0.288513
0.551876,0.291226
0.553846,0.293939
0.555815,0.296652
0.557785,0.299366
0.559755,0.302079
0.561725,0.304792
0.563694,0.307505
0.565664,0.310218
0.567634,0.312931
0.569604,0.315644
0.571574,0.318358
0.573543,0.321071
0.575513,0.323784
0.577483,0.326497
0.579453,0.329210
0.581422,0.331923
0.583392,0.334636
0.585362,0.337349
0.587332,0.340063
0.589302,0.345382
