/sa m  2  3                                                   ;mark, dash & color for column 2
//cwt  1  2                ;line weight
/sm    OFF                 ;data marks
/sc    ON                  ;connect points
/sd     OFF
/td axya
    1  0.000000  0.000001  0.000000
    2  0.002408  0.000958  0.000000
    3  0.009607  0.003769  0.000000
    4  0.021530  0.008241  0.000000
    5  0.038060  0.014065  0.000000
    6  0.059039  0.020827  0.000000
    7  0.084265  0.028026  0.000000
    8  0.113495  0.035093  0.000000
    9  0.146447  0.041421  0.000000
   10  0.182803  0.046388  0.000000
   11  0.222215  0.049382  0.000000
   12  0.264302  0.050000  0.000000
   13  0.308658  0.050000  0.000000
   14  0.354858  0.050000  0.000000
   15  0.402455  0.050000  0.000000
   16  0.450991  0.050000  0.000000
   17  0.500000  0.050000  0.000000
   18  0.549009  0.050000  0.000000
   19  0.597545  0.050000  0.000000
   20  0.645142  0.050000  0.000000
   21  0.691342  0.049302  0.000000
   22  0.735698  0.047002  0.000000
   23  0.777785  0.043335  0.000000
   24  0.817197  0.038590  0.000000
   25  0.853553  0.033088  0.000000
   26  0.886505  0.027169  0.000000
   27  0.915735  0.021178  0.000000
   28  0.940961  0.015446  0.000000
   29  0.961940  0.010283  0.000000
   30  0.978470  0.005962  0.000000
   31  0.990393  0.002707  0.000000
   32  0.997592  0.000686  0.000000
   33  1.000000  0.000001  0.000000
   33  1.000000  0.000001  0.000000
 //nc
/sa m  2  3                                                   ;mark, dash & color for column 2
//cwt  1  2                ;line weight
/sm    OFF                 ;data marks
/sc    ON                  ;connect points
/sd     OFF
/td axya
    1  0.626111  0.322920  0.000000
    2  0.643962  0.348414  0.000000
    3  0.661813  0.373907  0.000000
    4  0.679664  0.399401  0.000000
    5  0.697515  0.424895  0.000000
    6  0.715365  0.450388  0.000000
    7  0.733216  0.475882  0.000000
    8  0.751067  0.501376  0.000000
    9  0.768918  0.526870  0.000000
   10  0.786769  0.552363  0.000000
   11  0.804620  0.577857  0.000000
   12  0.822471  0.603351  0.000000
   13  0.840321  0.628844  0.000000
   14  0.858172  0.654338  0.000000
   15  0.876023  0.679832  0.000000
   16  0.893874  0.705325  0.000000
   17  0.911725  0.730819  0.000000
   18  0.929576  0.756313  0.000000
   19  0.947427  0.781807  0.000000
   20  0.965278  0.807300  0.000000
   21  1.038777  0.807300  0.000000
   22  1.023637  0.781807  0.000000
   23  1.008497  0.756313  0.000000
   24  0.993356  0.730819  0.000000
   25  0.978216  0.705325  0.000000
   26  0.963076  0.679832  0.000000
   27  0.947935  0.654338  0.000000
   28  0.932795  0.628844  0.000000
   29  0.917655  0.603351  0.000000
   30  0.902514  0.577857  0.000000
   31  0.887374  0.552363  0.000000
   32  0.872234  0.526870  0.000000
   33  0.857093  0.501376  0.000000
   34  0.841953  0.475882  0.000000
   35  0.826813  0.450388  0.000000
   36  0.811672  0.424895  0.000000
   37  0.796532  0.399401  0.000000
   38  0.781392  0.373907  0.000000
   39  0.766251  0.348414  0.000000
   40  0.751111  0.322920  0.000000
   40  0.751111  0.322920  0.000000
 //nc
