   yspan      DMle     DMmid      DMte      DMmean
   1.291680  0.003652  0.003375  0.002564  0.003197
   1.393655  0.003220  0.002819  0.002009  0.002683
   1.495629  0.002799  0.002333  0.001567  0.002233
   1.597604  0.002407  0.001916  0.001213  0.001845
   1.699579  0.002048  0.001562  0.000932  0.001514
   1.801554  0.001728  0.001265  0.000712  0.001235
   1.903529  0.001448  0.001020  0.000539  0.001003
   2.005503  0.001205  0.000818  0.000405  0.000809
   2.107478  0.000997  0.000654  0.000299  0.000650
   2.209453  0.000822  0.000519  0.000218  0.000520
   2.311428  0.000673  0.000410  0.000154  0.000413
   2.413403  0.000550  0.000322  0.000105  0.000326
   2.515378  0.000447  0.000251  0.000067  0.000255
   2.617352  0.000362  0.000193  0.000039  0.000198
   2.719327  0.000292  0.000147  0.000016  0.000152
   2.821302  0.000233  0.000110 -0.000001  0.000114
   2.923277  0.000185  0.000081 -0.000014  0.000084
   3.025251  0.000146  0.000057 -0.000022  0.000060
   3.127226  0.000114  0.000037 -0.000033  0.000039
   3.229201  0.000087  0.000022 -0.000038  0.000024
