   yspan      DMle     DMmid      DMte      DMmean
   0.657706 -0.141095 -0.165006 -0.162001 -0.156034
   0.732889 -0.131302 -0.151287 -0.109330 -0.130640
   0.808071 -0.122316 -0.131752 -0.052730 -0.102266
   0.883253 -0.112513 -0.108183 -0.007450 -0.076049
   0.958436 -0.101182 -0.082969  0.023300 -0.053617
   1.033618 -0.089054 -0.058708  0.041532 -0.035410
   1.108801 -0.075548 -0.036962  0.052707 -0.019934
   1.183983 -0.060811 -0.017665  0.059352 -0.006375
   1.259165 -0.045504 -0.000773  0.061626  0.005116
   1.334348 -0.030845  0.012033  0.060528  0.013905
   1.409530 -0.017802  0.020664  0.057218  0.020027
   1.484713 -0.006717  0.026144  0.053343  0.024257
   1.559895  0.002754  0.029695  0.049191  0.027213
   1.635077  0.010027  0.031338  0.044858  0.028741
   1.710260  0.014966  0.031341  0.040477  0.028928
   1.785442  0.018311  0.030336  0.036221  0.028289
   1.860624  0.020360  0.028827  0.032251  0.027146
   1.935807  0.021145  0.026932  0.028623  0.025566
   2.010989  0.021004  0.024774  0.025345  0.023708
   2.086172  0.020336  0.022531  0.022380  0.021749
